2019-12-01 06:49:47,179 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2019-12-01 06:49:47,217 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2019-12-01 06:49:47,220 INFO  Logger.cs: 73 - Commit version 1.5.0-0-g9aa0fdb
2019-12-01 06:49:47,221 INFO  Logger.cs: 74 - Build version 1.5.7004.21443
2019-12-01 06:49:47,249 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2019-12-01 06:49:47,249 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2019-12-01 06:49:47,271 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2019-12-01 07:01:38,566 INFO  SwAddin.cs: 271 - Assembly export called for file 转头装配
2019-12-01 07:01:47,131 INFO  SwAddin.cs: 290 - Saving assembly
2019-12-01 07:01:47,309 INFO  SwAddin.cs: 293 - Opening property manager
2019-12-01 07:01:47,337 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [CoordSys] from 转头装配
2019-12-01 07:01:47,345 INFO  ExportHelperExtension.cs: 1145 - Found 25 in 转头装配
2019-12-01 07:01:47,346 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [CoordSys] in 转头装配
2019-12-01 07:01:47,346 INFO  ExportHelperExtension.cs: 1158 - Proceeding through assembly components
2019-12-01 07:01:47,348 INFO  ExportHelperExtension.cs: 1170 - 2 components to check
2019-12-01 07:01:47,350 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [CoordSys] from Intel_RealSense_Depth_Camera_D435_step-1
2019-12-01 07:01:47,350 INFO  ExportHelperExtension.cs: 1145 - Found 25 in Intel_RealSense_Depth_Camera_D435_step-1
2019-12-01 07:01:47,351 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [CoordSys] in Intel_RealSense_Depth_Camera_D435_step-1
2019-12-01 07:01:47,356 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [CoordSys] from 300无人机_neck-1
2019-12-01 07:01:47,366 INFO  ExportHelperExtension.cs: 1145 - Found 117 in 300无人机_neck-1
2019-12-01 07:01:47,367 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [CoordSys] in 300无人机_neck-1
2019-12-01 07:01:47,368 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [RefAxis] from 转头装配
2019-12-01 07:01:47,369 INFO  ExportHelperExtension.cs: 1145 - Found 25 in 转头装配
